verein,total_marktwert_zuzuege,total_marktwert_abgaenge,differenz_marktwert,total_tore_zuzuege,total_tore_abgaenge,tore_differenz,total_vorlagen_zuzuege,total_vorlagen_abgaenge,vorlagen-differenz,total_spiele_zuzuege,total_spiele_abgaenge,total-spiel-differenz
BSC Young Boys,63500000.0,70750000.0,-7250000.0,234,380,-146,119,257,-138,1283,2432,-1149
FC Basel,38000000.0,52250000.0,-14250000.0,552,441,111,258,262,-4,2126,2607,-481
FC Lausanne-Sport,42750000.0,34250000.0,8500000.0,255,424,-169,79,279,-200,1594,3216,-1622
FC Lugano,76750000.0,34750000.0,42000000.0,502,242,260,191,170,21,2926,3052,-126
FC Luzern,36750000.0,35500000.0,1250000.0,176,241,-65,134,117,17,1922,2644,-722
FC Sion,42350000.0,85750000.0,-43400000.0,172,579,-407,104,314,-210,1763,3548,-1785
FC St. Gallen 1879,43250000.0,40000000.0,3250000.0,229,265,-36,149,153,-4,1976,1994,-18
FC Thun,51250000.0,24000000.0,27250000.0,235,263,-28,128,80,48,1471,1494,-23
FC Zürich,29000000.0,40000000.0,-11000000.0,130,253,-123,84,215,-131,1099,3159,-2060
Grasshopper Club Zürich,54000000.0,49850000.0,4150000.0,388,498,-110,169,166,3,2284,2506,-222
