verein,gesamt_marktwert_zuzuege,gesamt_marktwert_abgaenge,gesamt_differenz_marktwert
BSC Young Boys,63500000.0,70750000.0,-7250000.0
FC Basel,38000000.0,52250000.0,-14250000.0
FC Lausanne-Sport,42750000.0,34250000.0,8500000.0
FC Lugano,76750000.0,34750000.0,42000000.0
FC Luzern,36750000.0,35500000.0,1250000.0
FC Sion,42350000.0,85750000.0,-43400000.0
FC St. Gallen 1879,43250000.0,40000000.0,3250000.0
FC Thun,51250000.0,24000000.0,27250000.0
FC Zürich,29000000.0,40000000.0,-11000000.0
Grasshopper Club Zürich,54000000.0,49850000.0,4150000.0
